customer_id,tenure_months,monthly_charges,contract_type,autopay,internet_service,support_tickets_90d,late_payments_6m,streaming_tv,online_security,senior,region,avg_data_gb,satisfaction_score,retention_offer_last30d,cancellation_request_flag,exit_survey_completed,churn_next_30d
C100061,26,75.52,Month-to-month,No,Fiber,2,0,Yes,Yes,No,East,290.5,7,No,No,No,Yes
C100062,57,84.11,Month-to-month,Yes,Fiber,1,0,Yes,Yes,No,East,296.5,8,Yes,No,No,No
C100063,29,37.21,Two-year,No,None,1,1,Yes,Yes,No,East,171.0,7,No,Yes,Yes,Yes
C100064,37,18.0,One-year,Yes,None,6,0,No,Yes,Yes,East,290.0,6,Yes,No,No,No
C100065,62,19.49,Two-year,Yes,None,3,0,Yes,Yes,No,North,212.6,7,Yes,No,No,No
C100066,20,42.86,One-year,Yes,DSL,1,1,No,No,No,North,181.3,6,No,Yes,No,Yes
C100067,13,80.98,Month-to-month,Yes,DSL,1,1,Yes,Yes,No,East,192.5,6,No,No,No,No
C100068,28,73.2,Month-to-month,No,DSL,3,3,No,Yes,Yes,East,213.6,5,No,No,No,No
C100069,3,30.03,One-year,No,None,2,1,No,Yes,No,South,193.8,7,No,No,No,No
C100070,17,65.0,Month-to-month,Yes,DSL,1,1,No,No,No,North,128.4,6,No,No,Yes,Yes
C100071,16,58.75,Month-to-month,Yes,DSL,0,2,No,No,No,East,177.4,4,No,No,No,No
C100072,53,50.07,Two-year,Yes,DSL,2,1,No,Yes,No,South,154.8,7,No,No,No,No
C100073,66,84.9,One-year,Yes,Fiber,2,2,Yes,No,No,South,240.2,4,No,No,No,No
C100074,27,41.02,Month-to-month,No,None,1,0,Yes,No,No,South,310.6,8,No,No,No,No
C100075,6,54.67,Month-to-month,Yes,Fiber,3,1,Yes,No,No,North,219.4,4,No,No,Yes,Yes
C100076,13,57.97,Month-to-month,Yes,DSL,2,1,No,Yes,No,East,143.6,8,No,No,No,No
C100077,67,73.4,One-year,No,Fiber,2,1,Yes,Yes,No,South,95.0,6,No,No,No,No
C100078,15,24.38,Month-to-month,Yes,None,2,2,No,Yes,No,West,159.8,6,No,No,No,No
C100079,44,74.83,Two-year,Yes,Fiber,1,1,Yes,No,No,South,208.4,5,No,Yes,No,No
C100080,51,84.95,Month-to-month,No,Fiber,0,2,No,Yes,Yes,South,182.5,8,Yes,No,No,No
C100081,5,85.59,Month-to-month,Yes,Fiber,1,0,Yes,No,Yes,South,233.3,6,No,Yes,Yes,Yes
C100082,8,73.17,Month-to-month,Yes,Fiber,2,1,Yes,Yes,Yes,South,148.1,6,No,No,No,No
C100083,71,39.86,Month-to-month,Yes,DSL,1,0,Yes,Yes,No,East,201.5,7,No,No,No,No
C100084,53,69.9,Two-year,No,Fiber,2,2,Yes,No,Yes,South,260.1,8,Yes,Yes,Yes,Yes
C100085,48,93.57,Two-year,Yes,Fiber,4,3,Yes,Yes,No,West,227.5,5,No,Yes,No,Yes
C100086,14,81.65,Month-to-month,Yes,DSL,2,3,Yes,No,No,West,180.3,6,No,Yes,Yes,Yes
C100087,68,63.93,Two-year,Yes,DSL,1,1,Yes,Yes,No,South,116.1,7,No,No,No,No
C100088,33,76.76,One-year,Yes,Fiber,1,2,Yes,Yes,No,South,193.5,8,No,No,No,No
C100089,48,67.27,One-year,Yes,DSL,1,0,Yes,Yes,No,South,257.7,9,No,No,No,No
C100090,12,61.51,Month-to-month,Yes,Fiber,5,1,Yes,Yes,No,South,237.6,5,No,Yes,No,No
C100091,8,52.46,One-year,Yes,Fiber,1,0,No,No,No,East,101.1,7,No,No,No,No
C100092,7,73.6,Month-to-month,Yes,DSL,2,0,Yes,No,No,West,166.6,7,No,No,No,No
C100093,35,55.17,Month-to-month,Yes,DSL,3,1,No,No,No,South,336.2,9,No,No,No,No
C100094,3,80.93,One-year,Yes,DSL,1,0,Yes,Yes,No,West,164.3,6,No,No,No,No
C100095,40,79.38,One-year,Yes,Fiber,1,1,No,No,No,North,141.8,7,No,No,No,No
C100096,47,55.49,Month-to-month,No,DSL,2,0,Yes,No,No,East,133.5,7,No,No,No,No
C100097,52,47.54,Month-to-month,Yes,DSL,0,2,No,Yes,No,East,110.3,5,No,No,No,No
C100098,26,70.72,One-year,Yes,Fiber,1,0,Yes,No,No,South,124.4,4,Yes,Yes,No,Yes
C100099,5,43.3,Month-to-month,Yes,None,5,2,Yes,No,No,North,204.2,6,No,No,No,No
C100100,71,71.05,Two-year,No,DSL,0,1,Yes,No,No,South,178.1,7,No,No,No,No
C100101,49,32.28,One-year,No,None,1,0,No,Yes,No,East,186.3,8,No,No,No,No
C100102,19,50.73,Month-to-month,Yes,DSL,1,4,No,Yes,No,North,287.5,4,No,No,No,No
C100103,4,22.49,One-year,Yes,None,2,1,No,Yes,No,East,203.8,6,No,No,No,No
C100104,35,78.33,Month-to-month,No,Fiber,1,0,No,Yes,No,East,61.6,8,No,No,No,No
C100105,30,63.24,Two-year,No,Fiber,3,0,No,Yes,No,West,95.4,6,No,No,No,No
C100106,1,64.15,Two-year,Yes,Fiber,2,1,Yes,No,No,South,292.2,7,No,No,No,No
C100107,66,73.84,Month-to-month,No,Fiber,1,1,No,No,No,East,202.9,7,No,No,No,No
C100108,67,58.91,One-year,No,Fiber,0,0,No,No,No,East,344.5,8,No,No,No,No
C100109,51,52.92,Month-to-month,Yes,DSL,5,0,Yes,No,No,West,201.0,5,No,No,No,No
C100110,8,71.13,Month-to-month,No,Fiber,2,1,No,No,No,East,242.7,8,No,Yes,Yes,Yes
C100111,44,54.01,Two-year,No,Fiber,2,0,No,No,No,South,251.0,6,No,No,No,No
C100112,55,58.23,One-year,Yes,DSL,0,0,No,No,Yes,South,212.4,8,No,No,No,No
C100113,27,55.2,One-year,Yes,DSL,1,0,Yes,No,No,West,171.1,7,No,No,No,No
C100114,1,90.18,Month-to-month,Yes,Fiber,1,2,No,Yes,No,South,276.5,4,No,No,Yes,Yes
C100115,38,77.3,Month-to-month,No,DSL,4,2,Yes,No,No,South,169.7,4,No,No,No,No
C100116,44,78.73,Month-to-month,Yes,Fiber,4,1,Yes,No,No,South,237.3,5,No,No,No,No
C100117,48,60.27,Month-to-month,No,Fiber,1,1,Yes,No,No,South,176.3,7,No,No,No,No
C100118,30,48.56,Month-to-month,Yes,None,0,2,Yes,No,No,North,236.0,5,No,No,No,No
C100119,44,70.99,Two-year,Yes,Fiber,0,1,Yes,No,Yes,West,241.1,8,No,No,No,No
C100120,21,50.33,One-year,Yes,DSL,3,0,Yes,No,No,South,124.5,6,No,No,No,No
C100121,19,77.91,Two-year,Yes,Fiber,1,1,Yes,Yes,Yes,East,228.1,6,No,No,No,No
C100122,43,49.47,Month-to-month,Yes,DSL,0,0,Yes,Yes,No,South,237.0,7,Yes,No,No,No
C100123,70,48.03,Month-to-month,Yes,DSL,2,1,No,Yes,No,West,190.1,7,No,Yes,No,No
C100124,27,69.17,Month-to-month,No,DSL,3,0,Yes,Yes,No,East,177.1,8,No,Yes,No,Yes
C100125,58,58.49,Month-to-month,No,DSL,1,0,Yes,Yes,No,East,201.1,10,No,No,No,No
C100126,72,86.23,Month-to-month,Yes,Fiber,0,0,Yes,No,No,West,215.6,9,No,No,No,No
C100127,57,54.58,Two-year,Yes,Fiber,3,3,No,Yes,Yes,East,142.2,6,No,No,No,No
C100128,53,69.88,One-year,No,DSL,2,2,Yes,No,No,West,145.4,6,No,Yes,No,Yes
C100129,8,63.45,Month-to-month,Yes,Fiber,1,1,No,Yes,No,West,171.6,8,No,No,No,No
C100130,41,93.12,One-year,Yes,Fiber,1,2,No,Yes,No,East,119.7,7,No,No,No,No
C100131,28,58.49,Month-to-month,Yes,Fiber,2,0,No,No,Yes,West,110.6,7,No,No,No,No
C100132,69,20.9,Month-to-month,Yes,None,1,2,No,No,Yes,East,206.5,6,No,No,No,No
C100133,24,62.04,Month-to-month,No,Fiber,3,0,Yes,No,Yes,North,125.6,7,No,No,No,No
C100134,6,82.36,Month-to-month,Yes,Fiber,1,1,Yes,Yes,No,South,328.7,5,No,Yes,Yes,Yes
C100135,29,45.94,Two-year,Yes,Fiber,0,0,No,No,No,West,198.6,6,No,No,No,No
C100136,25,94.39,Month-to-month,Yes,Fiber,3,1,Yes,Yes,No,South,248.1,7,Yes,No,No,No
C100137,13,61.56,Month-to-month,No,Fiber,1,0,Yes,Yes,No,East,227.0,7,No,No,Yes,Yes
C100138,58,64.28,Two-year,Yes,DSL,0,0,Yes,Yes,Yes,North,353.3,8,No,Yes,No,No
C100139,27,74.44,Two-year,Yes,DSL,2,2,Yes,Yes,No,East,313.1,7,Yes,No,No,No
C100140,15,75.0,Month-to-month,Yes,Fiber,3,0,Yes,Yes,No,West,170.8,5,No,No,No,No
C100141,62,70.24,Two-year,Yes,DSL,2,2,Yes,No,No,South,138.5,7,Yes,No,No,No
C100142,7,51.59,Month-to-month,Yes,None,1,2,Yes,Yes,No,South,198.4,7,No,No,No,No
C100143,62,78.85,Two-year,Yes,Fiber,1,0,Yes,Yes,No,North,78.0,7,No,No,No,Yes
C100144,51,82.15,One-year,No,Fiber,1,0,No,Yes,No,South,250.4,8,No,No,No,No
C100145,19,32.44,Month-to-month,No,DSL,1,1,No,No,No,East,223.2,7,No,No,No,No
C100146,37,75.97,Two-year,Yes,Fiber,2,2,No,Yes,No,West,193.0,4,Yes,No,No,No
C100147,67,70.15,One-year,Yes,Fiber,2,1,No,No,No,North,315.3,8,No,No,No,No
C100148,27,62.48,Month-to-month,No,Fiber,2,2,No,No,No,West,197.8,5,No,Yes,Yes,Yes
C100149,26,72.26,Month-to-month,Yes,Fiber,2,0,Yes,Yes,No,East,189.6,9,No,No,No,No
C100150,11,62.73,Month-to-month,No,DSL,1,0,Yes,No,Yes,West,139.9,5,No,No,No,No
C100151,45,77.78,Two-year,Yes,Fiber,2,1,Yes,No,No,South,75.3,7,No,No,No,No
C100152,53,74.18,Month-to-month,No,Fiber,0,0,Yes,Yes,No,East,228.2,8,Yes,No,No,No
C100153,31,86.04,Month-to-month,No,DSL,1,1,Yes,Yes,No,North,203.3,5,No,No,No,No
C100154,63,37.61,Month-to-month,Yes,DSL,1,1,No,No,No,South,126.5,7,No,No,No,No
C100155,14,77.83,One-year,No,Fiber,5,0,Yes,No,Yes,West,168.5,6,No,Yes,No,Yes
C100156,18,46.82,Month-to-month,Yes,Fiber,1,0,No,No,Yes,East,308.2,7,No,No,No,No
C100157,38,35.99,Month-to-month,Yes,None,3,0,Yes,Yes,No,West,201.0,8,No,No,No,No
C100158,41,27.64,Two-year,Yes,DSL,2,0,No,Yes,No,North,238.9,10,No,No,No,No
C100159,8,74.62,Two-year,No,Fiber,0,0,Yes,No,No,North,197.6,4,No,No,No,No
C100160,2,77.0,Month-to-month,Yes,Fiber,1,0,Yes,No,No,South,225.6,5,Yes,Yes,No,Yes
C100161,29,29.28,Two-year,No,DSL,2,1,No,No,No,East,283.5,7,Yes,No,No,No
C100162,11,73.69,One-year,Yes,Fiber,1,0,Yes,Yes,No,East,246.4,6,No,Yes,Yes,Yes
C100163,35,110.3,Month-to-month,No,Fiber,0,0,Yes,Yes,No,West,238.9,5,No,No,No,No
C100164,56,73.34,Month-to-month,No,Fiber,1,1,Yes,Yes,No,East,176.7,5,No,No,No,No
C100165,68,55.94,Month-to-month,No,Fiber,2,1,Yes,No,No,South,139.2,8,Yes,No,No,No
C100166,20,21.99,Two-year,No,None,1,0,Yes,No,Yes,North,215.3,9,No,No,No,No
C100167,52,42.57,Month-to-month,No,None,0,1,Yes,Yes,No,West,44.7,8,No,No,No,No
C100168,48,64.71,Month-to-month,No,Fiber,0,1,Yes,Yes,No,South,275.3,6,No,No,No,No
C100169,7,70.05,One-year,Yes,Fiber,1,0,Yes,Yes,Yes,South,258.0,8,No,Yes,No,Yes
C100170,38,60.24,Month-to-month,Yes,Fiber,5,1,Yes,No,No,West,193.8,3,Yes,Yes,Yes,Yes
C100171,37,74.05,One-year,No,Fiber,2,0,Yes,Yes,No,East,160.6,7,No,No,No,No
C100172,52,62.31,Month-to-month,No,Fiber,0,0,No,Yes,No,North,65.6,7,No,No,No,No
C100173,15,41.07,Month-to-month,Yes,DSL,6,0,No,Yes,No,East,99.2,5,No,No,No,No
C100174,34,78.97,One-year,Yes,Fiber,0,3,No,No,No,East,116.8,6,No,No,No,No
C100175,24,42.9,Month-to-month,Yes,Fiber,3,1,No,No,No,East,192.7,6,Yes,No,No,No
C100176,21,60.03,One-year,Yes,DSL,2,1,No,Yes,No,East,262.0,5,No,No,No,No
C100177,50,64.35,Month-to-month,No,Fiber,3,1,Yes,No,No,South,319.1,6,Yes,No,No,No
C100178,10,61.81,One-year,No,DSL,0,2,Yes,No,Yes,North,132.0,7,No,No,No,No
C100179,63,65.6,One-year,No,DSL,0,0,Yes,No,Yes,North,234.7,7,No,No,No,No
C100180,2,89.4,One-year,No,Fiber,2,1,Yes,Yes,Yes,West,267.7,7,No,No,No,No
C100181,21,39.18,One-year,Yes,DSL,0,1,No,Yes,No,South,82.0,5,No,No,No,No
C100182,13,71.16,One-year,No,Fiber,3,1,Yes,No,No,North,219.1,7,No,No,No,No
C100183,37,71.7,Month-to-month,No,DSL,0,2,Yes,Yes,Yes,West,110.2,5,No,No,No,No
C100184,17,53.97,One-year,Yes,Fiber,1,0,No,No,Yes,North,176.5,7,No,No,Yes,Yes
C100185,66,61.88,Month-to-month,Yes,DSL,3,1,No,Yes,No,South,139.0,9,No,No,No,No
C100186,16,32.37,One-year,No,None,3,2,No,No,No,North,177.9,6,Yes,No,No,No
C100187,2,79.8,Month-to-month,No,Fiber,2,4,Yes,No,No,East,247.2,4,No,Yes,Yes,Yes
C100188,19,55.66,One-year,Yes,DSL,0,0,Yes,Yes,No,North,152.6,9,No,No,No,No
C100189,22,49.64,Two-year,No,Fiber,2,1,No,No,No,West,130.3,8,No,No,No,No
C100190,50,54.98,Month-to-month,Yes,DSL,0,1,No,Yes,No,East,254.4,7,Yes,No,No,No
C100191,69,38.31,Month-to-month,No,None,2,1,Yes,Yes,No,East,180.4,5,No,No,No,No
C100192,23,53.24,Two-year,Yes,Fiber,3,1,No,Yes,No,East,341.4,6,No,No,No,No
C100193,65,80.23,Month-to-month,No,Fiber,0,0,Yes,No,No,South,191.8,5,No,No,No,No
C100194,9,57.56,Month-to-month,Yes,DSL,1,1,Yes,Yes,No,East,184.1,9,No,No,No,No
C100195,45,72.45,Month-to-month,Yes,DSL,1,0,Yes,Yes,No,North,132.6,7,No,No,No,No
C100196,21,58.18,Two-year,Yes,DSL,3,0,Yes,No,No,North,209.2,8,Yes,No,No,No
C100197,37,61.94,Two-year,Yes,Fiber,1,0,No,No,No,East,132.9,7,Yes,No,No,No
C100198,13,79.42,Two-year,No,DSL,0,0,Yes,Yes,No,North,265.2,7,No,No,No,No
C100199,46,58.58,Month-to-month,Yes,Fiber,3,2,No,No,No,North,191.3,5,No,No,No,No
C100200,14,45.71,Month-to-month,No,DSL,0,0,Yes,No,No,West,228.1,8,No,No,No,No
C100201,36,75.45,Month-to-month,No,DSL,1,0,Yes,No,No,East,238.0,6,Yes,No,No,No
C100202,4,67.22,Month-to-month,No,Fiber,2,0,No,Yes,Yes,East,61.9,8,No,No,No,No
C100203,53,93.74,Month-to-month,Yes,Fiber,2,0,Yes,Yes,Yes,East,154.9,6,Yes,No,No,No
C100204,49,76.39,Month-to-month,Yes,DSL,3,0,Yes,No,No,East,223.6,5,No,No,No,No
C100205,52,30.33,Two-year,Yes,DSL,1,3,Yes,No,No,West,230.3,9,No,No,No,No
C100206,60,35.51,Two-year,Yes,DSL,2,1,No,No,No,South,193.2,7,No,No,No,No
C100207,20,101.4,One-year,No,Fiber,1,2,Yes,No,No,South,210.2,5,Yes,Yes,Yes,Yes
C100208,68,66.84,One-year,Yes,DSL,2,1,No,Yes,No,South,84.8,7,No,No,No,No
C100209,2,73.75,Month-to-month,Yes,Fiber,0,0,Yes,No,Yes,West,306.8,7,No,No,Yes,Yes
C100210,2,83.46,Month-to-month,No,Fiber,1,2,Yes,Yes,No,West,192.5,5,No,Yes,No,Yes
C100211,56,70.64,Two-year,Yes,Fiber,3,0,No,No,No,West,46.4,5,Yes,No,No,No
C100212,9,52.47,Month-to-month,Yes,DSL,1,4,Yes,No,No,West,337.6,6,No,No,No,No
C100213,47,70.26,Two-year,No,DSL,1,0,Yes,Yes,No,East,182.8,8,No,No,No,No
C100214,26,45.71,Month-to-month,Yes,None,2,1,Yes,Yes,Yes,South,165.4,6,No,No,No,No
C100215,44,78.69,Month-to-month,Yes,Fiber,1,0,No,Yes,No,West,140.5,8,No,No,No,No
C100216,28,51.32,Month-to-month,Yes,Fiber,2,0,No,Yes,No,East,158.1,7,No,No,No,No
C100217,53,53.26,Month-to-month,No,DSL,0,1,Yes,Yes,No,West,220.3,6,No,No,No,No
C100218,38,62.0,One-year,No,DSL,1,2,Yes,Yes,No,South,278.1,5,Yes,No,No,No
C100219,9,39.73,One-year,No,None,1,0,Yes,No,No,West,100.1,8,No,No,No,No
C100220,60,68.76,One-year,No,Fiber,3,1,No,No,No,South,115.1,3,Yes,No,No,No
C100221,29,60.95,Month-to-month,No,Fiber,1,3,No,No,No,North,168.0,7,Yes,No,No,No
C100222,70,67.7,Month-to-month,Yes,DSL,3,2,Yes,No,No,East,199.6,5,No,No,No,No
C100223,66,41.54,Month-to-month,No,DSL,4,1,No,No,No,East,353.7,4,No,No,No,No
C100224,50,79.7,Month-to-month,Yes,Fiber,2,3,No,Yes,No,North,185.0,4,Yes,Yes,No,Yes
C100225,22,75.49,Two-year,Yes,Fiber,2,0,No,No,No,West,259.2,4,No,Yes,No,Yes
C100226,13,88.58,Two-year,Yes,Fiber,2,0,Yes,Yes,No,West,90.5,6,No,No,No,No
C100227,35,83.49,Month-to-month,Yes,Fiber,1,0,Yes,Yes,No,East,275.3,8,No,No,No,No
C100228,8,51.56,Two-year,Yes,Fiber,2,2,No,Yes,No,East,165.3,7,No,No,No,No
C100229,67,70.66,Month-to-month,Yes,Fiber,1,0,Yes,No,No,North,169.2,6,No,No,No,No
C100230,44,63.22,Month-to-month,Yes,Fiber,1,1,Yes,No,No,South,281.8,8,No,No,No,No
C100231,56,50.9,One-year,No,Fiber,0,2,No,No,No,West,36.9,9,No,No,No,No
C100232,50,86.15,One-year,No,Fiber,3,0,Yes,No,No,South,159.0,7,No,No,No,No
C100233,17,86.36,Month-to-month,No,Fiber,2,0,Yes,No,Yes,East,126.7,8,No,No,No,No
C100234,43,53.56,Two-year,No,DSL,2,1,No,No,No,West,119.9,7,No,No,Yes,No
C100235,56,71.03,Month-to-month,Yes,Fiber,3,0,Yes,Yes,No,South,168.7,7,No,No,No,No
C100236,6,65.92,Month-to-month,Yes,DSL,1,2,Yes,Yes,Yes,South,232.6,7,Yes,Yes,No,Yes
C100237,64,45.38,One-year,No,DSL,3,1,Yes,No,No,East,149.8,9,No,No,No,No
C100238,56,68.77,Two-year,No,DSL,4,1,Yes,No,Yes,West,137.3,6,No,No,No,No
C100239,58,62.67,Month-to-month,Yes,Fiber,1,2,No,No,No,East,267.9,6,Yes,No,No,No
C100240,2,61.63,Two-year,No,DSL,1,0,Yes,Yes,No,East,220.3,7,No,Yes,No,No
C100241,31,18.0,Month-to-month,No,DSL,0,1,No,No,No,North,179.1,6,No,No,No,No
C100242,34,51.28,Month-to-month,Yes,Fiber,1,1,No,Yes,No,West,164.4,6,No,No,No,No
C100243,42,69.38,Month-to-month,No,Fiber,0,1,No,Yes,No,North,191.8,4,Yes,No,No,No
C100244,20,68.34,One-year,Yes,DSL,1,1,Yes,Yes,No,West,174.9,6,Yes,Yes,Yes,Yes
C100245,20,50.62,One-year,Yes,DSL,1,1,No,No,No,West,267.4,7,No,No,No,No
C100246,2,60.07,Month-to-month,No,Fiber,1,0,Yes,Yes,No,North,184.3,8,No,Yes,Yes,Yes
C100247,69,56.12,Month-to-month,Yes,DSL,3,1,Yes,No,Yes,East,279.6,6,No,No,No,No
C100248,25,90.31,Two-year,Yes,DSL,4,0,Yes,Yes,No,North,312.2,5,No,No,No,No
C100249,44,46.5,One-year,No,DSL,2,1,No,No,No,East,161.1,7,No,No,No,No
C100250,10,41.36,Two-year,No,None,0,1,Yes,No,No,South,138.6,7,No,No,No,No
C100251,9,93.15,Month-to-month,Yes,Fiber,2,1,Yes,Yes,No,North,177.7,7,No,No,No,No
C100252,21,36.0,Month-to-month,Yes,Fiber,3,2,No,No,No,East,260.1,7,No,Yes,Yes,Yes
C100253,23,60.62,One-year,No,DSL,1,0,Yes,No,Yes,South,255.5,8,No,No,No,Yes
C100254,8,81.4,Month-to-month,Yes,Fiber,1,1,Yes,No,No,North,269.6,6,Yes,No,No,No
C100255,67,71.99,Month-to-month,Yes,DSL,1,0,Yes,Yes,No,East,264.5,7,No,No,No,No
C100256,58,56.73,Month-to-month,No,DSL,5,0,Yes,No,No,South,271.8,6,No,No,No,No
C100257,25,81.77,One-year,Yes,Fiber,1,0,Yes,No,No,South,381.7,4,No,No,No,No
C100258,16,72.59,One-year,Yes,Fiber,1,3,Yes,No,No,North,117.3,6,No,Yes,No,Yes
C100259,13,69.66,Month-to-month,Yes,Fiber,3,1,No,No,No,North,119.5,5,No,Yes,No,Yes
