order_id,order_date,ship_date,region,city,category,subcategory,sales_channel,customer_type,quantity,unit_price,discount,revenue,returned,notes
ORD-1015,Jun 10 2025,Jun 16 2025,Northeast,Boston,office_supplies,Binder,Online,consumer,1,8.57,10%, 7.72 ,0,
ORD-1015,06-10-2025,TBD,NE,Boston,Technology,Headphones,Online,Consumer,2,USD 84.69,10 percent,152.45,TRUE,.
ORD-1016,5/5/25,2025/05/08,Northeast,New York ,Technology,Headphones,E-Commerce,Corporate ,1,69.08,10%,-$37.30,TRUE,.
ORD-1016,May 05 2025,2025-05-08,Northeast,New York,Office-Supplies,Binder,Online,Corporate, 1 ,8.50,0,$8.50,N,—
ORD-1017,2025-05-10,5/13/25,Midwest,Milwaukee,Office-Supplies,Pen,In-Store,Consumer, 1 ,2.66,0.15, 2.26 ,N,
ORD-1017,2025-05-10,2025-05-13,Midwest,Milwaukee,Office Supplies,Binder,In-Store,Consumer,3 units,8.96, 5% ,25.53,0,
ORD-1017,2025-02-30,2025/05/13,Midwest,Milwaukee,Office Supplies,Pen,In-Store,Consumer,1,USD 3.44,0.15,2.92,FALSE,
ORD-1018,Feb 18 2025,Feb 21 2025,Northeast,Philadelphia,technology,Monitor,Online,Consumer,4,$216.37,0.15,735.65 USD,No,rush
ORD-1019,Apr 15 2025,2025/04/19,South,Dallas,unknown,Binder,In-Store,Consumer ,2,7.78,0.20,12.45 USD,N,priority
ORD-1019,Apr 15 2025,Apr 19 2025,South,Dallas,Furniture ,Desk,In-Store ,Consumer,.,$282.87,0.05,$268.73,0,
ORD-1020,May 23 2025,2025/05/28,Midwest,Madison,Furniture,Chair,In-Store,Consumer,1,116.51,0.10,$104.86,no,priority
ORD-1021,Jul 07 2025,2025-07-10,Northeast,Pittsburgh,Office Supplies,Binder,Phone,Consumer,3,7.46,0.05,21.26,0,rush
ORD-1021,Jul 07 2025,2025/07/10,North East,Pittsburgh,Furniture,Desk,Phone,Consumer,4,278,,"$1,112.55",N,rush
ORD-1022,03-03-2025,2025/03/06,West,Phoenix,Office Supplies,Binder,Online,Corporate,2,8.83,none,17.66 USD,no,
ORD-1022,03-03-2025,2025/03/06,West,Phoenix,Technology,Laptop,Online,Corp,2,1084.48,20%,"$1,735.16",0,—
ORD-1022,2025-03-03,2025/03/06,W.,Phoenix,Office Supplies,Binder,Online,Corporate,2,9.39,0%,$18.78,FALSE,—
ORD-1023,03-09-2025,2025-03-11,Northeast ,New York,Technology,Monitor,E-Commerce,Consumer,3,254.96,5 percent,726.65,FALSE,late addr fix
ORD-1024,7/14/25,2025/07/21,west,Phoenix,office_supplies,Pen,In-Store,Home Office,2,$3.42,10 percent,6.15,0,
ORD-1024,Jul 14 2025,Jul 21 2025,West,Phoenix,Office Supplies,Binder,In Store,Home Office,2,USD 7.58,10%,13.64 USD,0,.
ORD-1024,7/14/25,2025/07/21,West,Phoenix,Technology,Headphones,In store,Home Office ,4,81.50,5 percent,unknown,No,—
ORD-1025,05-25-2025,May 31 2025,West,SanDiego,Furniture,Desk,In-Store,Consumer,4,269.23,No discount,"1,076.92 USD",No,—
ORD-1025,2025-05-25,2025-05-31,West,San Diego,Furniture,Desk,In store,Consumer,1 units,281.02,5%, 266.97 ,no,priority
ORD-1026,2025-06-30,2025/07/02,Northeast,Boston,office_supplies,Pen,E-Commerce,Corporate,4,2.91,No discount, 11.63 ,No,priority
ORD-1027,01-06-2025,Jan 13 2025,Northeast,Philadelphia ,Office Supplies,Pen,In-Store,home office,1,$2.60,.05,2.47,N,
ORD-1028,2025-01-14,Jan 16 2025,Midwest,Madison,Office Supplies ,Paper,In-Store,Consumer,2,11.48,10 percent,21,FALSE,gift
ORD-1028,2025-01-14,1/16/25,Midwest,Madison,Technology,Monitor,In-Store,Consumer,1,188.84,20%,$151.07,No,—
ORD-1029,2/28/25,2025/03/02,W.,san diego,Technology,Laptop,In-Store,Corporate,1,885.95,5%,unknown,No,
ORD-1030,01-17-2025,1/22/25,South,Nashville,Technology,Headphones,Online,Consumer,3,82.63,0.10,$223.11,FALSE,
ORD-1031,2025-03-28,3/29/25,West,San Diego,Tech,Monitor,Web,Consumer ,1,193.66,,$193.66,N,
ORD-1032,2025-06-26,7/1/25,west,Portland,Tech,Laptop,Phone,Consumer,2,861.80,.05,1637.42,No,—
ORD-1033,02-04-2025,2025-02-08,South ,Atlanta,Office Supplies,Binder,In-Store,Home Office,two,8.45,5%,$16.06,no,late addr fix
ORD-1033,Feb 04 2025,2025/02/08,South,Atlanta,Technology,Monitor,In-Store,Home Office,1,192,0.10,(103.75),1,gift
ORD-1034,Jun 02 2025,Jun 06 2025,Northeast,Pittsburgh,Office Supplies,Pen,E-Commerce,Consumer ,2,3.19,5%,6,unknown,
ORD-1034,06-02-2025,2025-06-06,Northeast,Pittsburgh,Office Supplies,Pen,E-Commerce,Consumer,2,$3.50,15%,$5.95,Y,.
ORD-1034,2025-06-02,Jun 06 2025,NE,Pittsburgh,Tech,Headphones,online,Consumer,1,68.48,none,$68.48,yes,priority
ORD-1035,2025-06-04,2025-06-06,Northeast ,Pittsburgh,office_supplies,Binder,In-Store,Consumer,1,USD 8.95,0,$8.95,FALSE,—
ORD-1036,Jun 07 2025,6/11/25,West,Seattle,Furniture,Chair,Online,Home Office ,2,140.32,0.05,266.60,FALSE,
ORD-1036,2025-06-07,2025/06/11,West,Seattle,Office Supplies,Pen,Online,Home Office,2,3.27,0,6.55 USD,no,—
ORD-1037,2025-02-07,2025/02/11,West,Seattle,office supplies,Binder,Online,Consumer,2,USD 8.78,10%,16,N,priority
ORD-1037,2/7/25,2/11/25,West,Seattle,Furniture,Desk,Online,Consumer,2 units,USD 314.36,0%,629,no,gift
ORD-1037,Feb 07 2025,2/11/25,West,Seattle,Technology,Headphones,Online,Consumer,1,91.90,0,$91.90,unknown,
ORD-1038,03-25-2025,3/27/25,Midwest,Indianapolis,Technology,Laptop,In-Store,Corporate,.,948.09,none,"$2,844.26",0,—
ORD-1038,3/25/25,Mar 27 2025,Midwest,Indianapolis,Office Supplies,Pen,In-Store,Corporate,3,3.33,10%,9.00,FALSE,rush
ORD-1038,3/25/25,Mar 27 2025,midwest,Indianapolis,Technology,Headphones,In-Store,Corporate,1,82.51,.05,78.38 USD,no,
ORD-1039,03-18-2025,3/19/25,North East,Philadelphia,Technology,Monitor,Online,Consumer,3,$231.88,,695.65,yes,.
ORD-1040,05-03-2025,2025-05-05,South,Nashville,office_supplies,Paper,Online,Corporate,1,10.54, 20% ,8.43 USD,N,gift
ORD-1040,05-03-2025,2025/05/05,South,Nashville,Office Supplies,Pen,online,Corporate,4,3.49,0.20, 11.16 ,no,
ORD-1041,7/9/25,2025/07/13,midwest,Madison,Office Supplies,Pen ,Web,Consumer,2,2.97,15%,$5.05,No,gift
ORD-1042,05-07-2025,2025/05/09,South,nashville,Office Supplies,Paper,Online,Home Office,3,13.24,15%,$33.76,0,—
ORD-1043,7/11/25,7/15/25,Midwest,Chicago,Office Supplies,Pen,In-Store,Consumer,1, 3.41 ,0%,3.41 USD,yes,late addr fix
ORD-1044,Mar 03 2025,2025-03-10,Midwest,Indianapolis,Office Supplies,Binder,Phone,Consumer,4,8.19,.20,$26.22,0,—
ORD-1044,2025-03-03,2025/03/10,midwest,Indianapolis,Office Supplies,Paper,Phone,Consumer,5 units,12.27,10%,55.22,FALSE,gift
ORD-1044,Mar 03 2025,Mar 10 2025,Mid West,Indianapolis,Technology,Laptop,Phone,Consumer,2,$990.68,15%,"1,684.16 USD",FALSE,
ORD-1045,Jul 20 2025,2025-07-26,NE,New York,Furniture,Desk,Online,Home Office,2,295,0%,unknown,FALSE,
ORD-1045,07-20-2025,Jul 26 2025,Northeast,New York,Furniture,Bookcase,Online,Home Office,2,218.95,none,$437.89,—,
ORD-1045,07-20-2025,Jul 26 2025,Northeast,New York,Office Supplies,Pen,Online,Home Office,3,3.08,none,9.24,0,late addr fix
ORD-1046,Feb 16 2025,2025/02/19,midwest,Madison,Furniture,Bookcase,In-Store,Corp,4,$244.32,0.10,$879.56,FALSE,
ORD-1047,4/20/25,2025/04/25,SOUTH,Houston,Furniture,Chair,In-Store,consumer,.,$116.91,0.10,105.22 USD,no,
ORD-1047,2025-04-20,2025/04/25,South,Houston,furniture,Desk,In-Store ,Consumer,2,273.19,20%,$437.11,FALSE,priority
ORD-1047,Apr 20 2025,2025-04-25,SOUTH,Houston,Office Supplies ,Pen,In-Store,Consumer,2,2.96,none,6,FALSE,
ORD-1048,4/6/25,2025/04/11,Midwest,Chicago,Office Supplies,Pen,Online,Corporate,5,USD 3.10,0.10,13.95,No,
ORD-1048,04-06-2025,4/11/25,Midwest,Chicago,Office Supplies,Binder,Online,Corporate,1,USD 7.99,0%,$7.99,N,—
ORD-1049,04-24-2025,4/26/25,Midwest,Madison,Furniture,Desk,Web,Consumer,two,248.49,10%,$447.29,0,priority
ORD-1050,01-13-2025,Jan 14 2025,South,Houston,Office Supplies,Pen,Online,Consumer,2,3.11,0.15,$5.28,no,rush
ORD-1050,01-13-2025,Jan 14 2025,South,Houston,Furniture,Bookcase,Online ,Consumer,1, 230.83 ,.10,$207.75,no,.
ORD-1051,02-08-2025,2/10/25,Midwest,Chicago,Technology,Headphones,Web,Corporate,2,78.36,5 percent,148.87,no,rush
ORD-1052,Mar 21 2025,2025-03-25,Northeast,New York,Technology,Headphones,Online,Corporate,2,81.82,0.10,147.28,0,
ORD-1052,2025-03-21,2025-03-25,northeast,New York,technology,Laptop,Online,Corporate,three,USD 828.26,10%,"$2,236.32",N,late addr fix
ORD-1053,Jul 23 2025,Jul 26 2025,West,Phoenix,Furniture,Bookcase,In store,Consumer,2,210.39, 5% ,unknown,FALSE,priority
ORD-1053,Jul 23 2025,2025/07/26,West,Phoenix ,Office Supplies ,Binder,In-Store,Consumer,1 units, 8.64 ,.05,$8.21,FALSE,
ORD-1054,Mar 03 2025,Mar 05 2025,west,Phoenix,Furniture,Bookcase,In-Store,Corporate ,1,235.45,none,$235.45,yes,
ORD-1054,03-03-2025,3/5/25,West,Phoenix,Office Supplies,Binder,In-Store ,Corporate,two,8.21,,$16.42,No,.
ORD-1054,Mar 03 2025,2025-03-05,West,Phoenix ,Technology,Laptop,In-Store,Corporate,1 units,908.32,0,$908.32,N,—
ORD-1055,4/18/25,4/25/25,West,Portland,Office Supplies,Pen,Online,Consumer,2,—,0.15,4,No,rush
ORD-1055,Apr 18 2025,Apr 25 2025,West,Portland,Office-Supplies,Binder,Online,Consumer,5,$8.22, 15% , 34.92 ,FALSE,
ORD-1056,05-11-2025,May 16 2025,West,San Diego,Furniture,Chair,In-Store,Consumer,1,$107.85,none,107.85,no,gift
ORD-1056,2025-05-11,2025-05-16,West,SanDiego,Furniture ,Bookcase,In-Store,Consumer,3,180.61,15 percent,$460.56,No,—
ORD-1057,2025-04-30,2025/05/05,,Dallas,Office Supplies,Binder,In-Store,Consumer,one,8.29, 15% ,$7.05,0,
ORD-1058,01-14-2025,2025-01-18,South,Dallas,Office Supplies,Binder,Online,Home Office ,2,$7.74,10%,$13.93,No,rush
ORD-1059,4/22/25,Apr 23 2025,Northeast,Pittsburgh,Office Supplies,Binder,In-Store,Corporate,2,7.80,0%,$15.60,No,priority
ORD-1059,04-22-2025,4/23/25,Northeast,Pittsburgh,Technology,Monitor,In-Store,Corp,1,USD 223.17,,$223.17,Y,late addr fix
ORD-1060,3/12/25,2025/03/19,South,Dallas,Technology,Headphones,Online,Consumer,2,90.46,10%,$162.83,no,—
ORD-1061,02-01-2025,2025/02/06,South,Nashville,technology,Laptop,E-Commerce,Corporate,5,$842.62,5%,"$4,002.46",no,
ORD-1062,04-24-2025,4/30/25,Midwest,Milwaukee,Office Supplies,Paper,In-Store,Corporate,1,—,0.15,$10.92,no,priority
ORD-1062,Apr 24 2025,Apr 30 2025,Midwest,Milwaukee,Office Supplies,Paper,In-Store,Corporate,1,—,0%, 13.25 ,N,gift
ORD-1063,Apr 24 2025,2025/04/28,West,Phoenix,technology,Laptop,Online,Home Office,1,USD 998.93, 5% ,948.98,0,—
ORD-1063,4/24/25,4/28/25,West,Phoenix,Furniture,Desk,Online,Home Office,2 units,242.79,,$485.58,Yes,.
ORD-1064,Jan 14 2025,2025-01-16,South,Nashville,Furniture,Desk,Online,Consumer ,1,250.83,none,250.83,FALSE,
ORD-1064,01-14-2025,1/16/25,South,Nashville,Office Supplies ,Pen,Online,Consumer,2,3.34,0%,6.67,N,rush
ORD-1064,2025-01-14,2025-01-16,South,Nashville,Office Supplies,Paper,Online,consumer,2,13.89, 20% ,unknown,no,
ORD-1065,2025-03-06,2025-03-12,South,Nashville,Office Supplies,Binder,phone,corporate,1,USD 8.86,.15,$7.53,No,rush
ORD-1065,03-06-2025,Mar 12 2025,South,Nashville,Furniture,Chair,phone,Corporate ,4,109.38,none,437.53,no,.
ORD-1065,2025-03-06,Mar 12 2025,South,Nashville,Technology ,Monitor,Phone,Corporate,1,$229.71,.10,unknown,No,rush
ORD-1066,May 06 2025,2025-05-12,SOUTH,Dallas,Technology,Monitor,In store,Corporate,2,218.85,5%,$415.82,No,gift
ORD-1066,May 06 2025,2025/05/12,South,Dallas,Technology,Laptop,In-Store,Corporate,2,828.39,0,"$1,656.77",0,
ORD-1066,May 06 2025,2025/05/12,South,Dallas,Furniture,Desk,In-Store,Corporate,1,305.50,10%,275,FALSE,.
ORD-1067,6/5/25,Jun 09 2025,West,Phoenix ,—,Headphones ,Online,Corporate, 5 ,USD 87.86,10%,$395.39,0,gift
ORD-1067,6/5/25,6/9/25,West,Phoenix,Furniture,Bookcase,Online,Corporate,1,$227.98,.05,216.59 USD,1,—
ORD-1068,2025-02-17,2025/02/21,South,Houston,Technology,Monitor,Online,Corporate,2,USD 230.85,5%, 438.61 ,no,
ORD-1068,Feb 17 2025,2/21/25,South,Houston,Furniture,Chair,Online,Corporate, 2 ,132.57,0,$265.13,no,late addr fix
ORD-1069,2025-02-30,Feb 02 2025,South,Dallas,Office Supplies,Pen,Online,consumer,4,USD 3.50,0%,$14.00,No,—
ORD-1069,Jan 28 2025,2025-02-02,South,Dallas,,Monitor,Online,Consumer ,1,231.65,15%,196.90,1,priority
ORD-1070,4/15/25,2025/04/19,Northeast,Boston,Office Supplies,Pen,Online,Corporate,2,2.65,15 percent,$4.51,TRUE,priority
ORD-1071,Apr 03 2025,2025/04/10,Northeast,New York,Office Supplies,Pen,Online,Home Office,2,2.97,0.10,$5.35,N,gift
ORD-1071,2025-04-03,4/10/25,Northeast,New York,Furniture,Desk,Online,Home Office,2,248.46,20 percent,398,N,late addr fix
ORD-1072,2025-03-05,Mar 11 2025,South,Dallas,Technology ,Headphones,Online,Consumer,2,$83.61,0%,$167.22,no,
ORD-1072,Mar 05 2025,2025-03-11,SOUTH,Dallas,Technology,Laptop,Online,Consumer,1,912.05,.05,866.45 USD,FALSE,late addr fix
ORD-1072,03-05-2025,3/11/25,South,Dallas,Technology,Laptop,Online,Consumer,1,USD 1038.71,0%,unknown,N,priority
ORD-1073,2025-07-19,Jul 23 2025,West,Phoenix,Furniture ,Chair,Web,Consumer,2,138.23,No discount,276.46 USD,No,rush
ORD-1074,02-19-2025,2025/02/26,SOUTH,Nashville,Technology,Headphones,Online,Corporate,5,USD 80.12,0.05, 380.56 ,0,—
ORD-1075,Mar 13 2025,2025-03-14,unknown,Seattle,Furniture,Desk,Phone,Corporate,1,274.71,5%, 260.98 ,FALSE,
ORD-1076,02-19-2025,2025/02/24,MW,Chicago,Furniture,Chair,In-Store,Corp,2,135.13,5%,256.74,N,
ORD-1076,2/19/25,2025/02/24,Midwest,Chicago,office_supplies,Binder,In-Store,Corporate,2,8.21,5%,$15.60,0,
ORD-1077,Jan 09 2025,Jan 14 2025,Northeast,New York,Technology,Laptop,online,Consumer ,1,"$1,043.64",0%,"1,043.64 USD",N,.
ORD-1078,02-25-2025,Mar 01 2025,Northeast,Boston,Tech,Headphones,Web,Consumer,4,USD 90.89,0.05, 345.38 ,FALSE,priority
ORD-1078,2/25/25,2025/03/01,Northeast,Boston,Office Supplies,Pen ,Online,Consumer ,1,3.05, 5% ,unknown,FALSE,
ORD-1079,2025-04-03,2025-04-10,North East,Pittsburgh,Technology ,Laptop,Online,Corporate,4,"$1,059.97",10%,3815.88,.,rush
ORD-1079,4/3/25,4/10/25,Northeast,Pittsburgh,Furniture,Chair,Online,Corporate ,5,108,5%,$511.04,1,
ORD-1079,2025-04-03,Apr 10 2025,Northeast,Pittsburgh,Office Supplies,Pen,Online,Corp,3,USD 3.28,.15,$8.36,N,rush
ORD-1080,2025-03-24,2025/03/26,Midwest,Chicago,Office Supplies,Binder,Online,Consumer,4,$8.45,none,$33.80,no,
ORD-1080,3/24/25,2025-03-26,Midwest,Chicago,Furniture,Chair,Online,Consumer,1,134.89,0%,134.89 USD,FALSE,
ORD-1081,2025-04-10,2025/04/14,West ,Seattle,Furniture,Bookcase,In store,home office,5,USD 232.54,none,"$1,162.69",unknown,—
ORD-1081,4/10/25,4/14/25,West ,Seattle,Technology,Laptop,In-Store,HomeOffice,2,$864.59,5 percent,"1,642.72 USD",No,priority
ORD-1081,04-10-2025,2025/04/14,West,Seattle ,office supplies,Paper,In-Store,Home Office,3,—,0, $35.38 ,N,.
ORD-1082,Jan 30 2025,2025/02/04,Midwest,Chicago,Office-Supplies,Binder,Online,Home Office,3,8.60,0.15,$21.94,no,gift
ORD-1083,Feb 04 2025,2025-02-05,SOUTH,Dallas,Furniture,Chair ,Online,Consumer,2,—,10%,$219.06,0,late addr fix
ORD-1083,2025-02-04,2025/02/05,south,Dallas,technology,Laptop,Online,Consumer,1,$891.05,0.10,$801.94,No,
ORD-1084,2025-05-19,2025-05-24,Midwest,Milwaukee,Furniture,Desk,Phone,Consumer,4,275.36,10%,991,FALSE,rush
ORD-1084,2025-05-19,5/24/25,Midwest,Milwaukee,Office Supplies,Paper,Phone Order,Consumer,5,USD 10.93,0,unknown,yes,
ORD-1085,Jan 12 2025,2025/01/16,Northeast,Philadelphia,Office-Supplies,Pen,In-Store,Corporate,3 units,—, 5% , $8.11 ,N,rush
ORD-1085,2025-01-12,1/16/25,Northeast,philadelphia,Office Supplies ,Pen,In-Store,Corporate,5,$3.28,0%,-$9.83,Y,priority
ORD-1086,3/23/25,2025-03-29,Northeast,Philadelphia,Furniture,Bookcase,online,Consumer,5 units,189.22,10%,851.48,N,
ORD-1086,2025-03-23,Mar 29 2025,Northeast,Philadelphia,Technology,Monitor,unknown,Consumer,3,216.97,0.05,618.36,TRUE,
ORD-1087,Apr 19 2025,4/23/25,West,Portland ,Office Supplies,Pen,In-Store,Corp,five, 2.56 ,0,12.78,0,
ORD-1088,Jan 18 2025,2025/01/20,west,Seattle,Furniture ,Chair,Online,Home Office ,3, 122.64 ,,367.93,0,gift
ORD-1088,01-18-2025,1/20/25,West,Seattle,Office Supplies,Paper,Online,home office,three,13.21,10%,36,,gift
ORD-1088,01-18-2025,2025-01-20,West,Seattle,Office Supplies,Pen,Online ,home office,4,$3.19, 10% ,11.48,FALSE,rush
ORD-1089,2025-01-17,Jan 24 2025,South,Atlanta,Technology,Laptop,Online,Corp,.,981.75,5%,"4,663.29 USD",0,—
ORD-1090,Apr 26 2025,4/28/25,West,Seattle,Office Supplies,Binder,In-Store,Consumer ,2,8.90,10%,16.02,no,priority
ORD-1090,04-26-2025,2025/04/28,West,Seattle,office_supplies,Binder,In-Store,Consumer,two,USD 8.50,0.10,15.30,No,—
ORD-1091,2025-05-12,2025/05/17,south,Nashville,Furniture,Desk,Phone,Corporate,2 units,278.75,5 percent, $529.63 ,no,late addr fix
ORD-1091,05-12-2025,5/17/25,South,nashville,Technology,Laptop,Phone,Corporate,2,"$1,014.93",0.10,1826.87,N,rush
ORD-1092,Jul 14 2025,7/21/25,northeast,boston,Office Supplies,Binder,In-Store,Corporate,2 units,$9.41,No discount,$18.83,FALSE,—
ORD-1092,Jul 14 2025,2025/07/21,Northeast,Boston,Technology,Monitor,In-Store,Corporate,5,192.08,0,960.42 USD,Yes,rush
ORD-1092,7/14/25,2025-07-21,North East,Boston,Technology ,Monitor,In-Store,Corp,1 units,221.83,0.05,$210.74,No,priority
ORD-1093,Apr 14 2025,Apr 18 2025,W.,Phoenix,Technology,Headphones,In-Store,Consumer ,3 units,74.30,0,$222.91,N,rush
ORD-1094,7/10/25,7/15/25,Northeast,New York,Office-Supplies,Binder,Phone,Home Office,one,7,0.20,$5.48,FALSE,late addr fix
ORD-1095,May 21 2025,May 24 2025,Northeast,New York,Technology,Monitor,Online,Home Office,5, 244.09 ,0.05,"$1,159.42",.,
ORD-1095,05-21-2025,May 24 2025,Northeast,New York,Technology,Headphones ,Online,Home Office,2,$84.19, 20% ,134.71 USD,unknown,priority
ORD-1096,4/28/25,May 01 2025,North East,Philadelphia,Technology,Headphones,In-Store,Corporate,two,$74.09,0,$148.18,FALSE,.
ORD-1096,Apr 28 2025,May 01 2025,Northeast,Philadelphia,Technology,Monitor,In-Store,Corporate,3,212,0%, 637.26 ,0,late addr fix
ORD-1097,May 03 2025,2025/05/04,West,phoenix,furniture,Chair,Online,Home Office,1,$117.69,10%,$105.92,N,
ORD-1097,5/3/25,2025/05/04,West,Phoenix,Office Supplies,Paper,online,Home Office, 4 ,11,none,44.36,No,
ORD-1097,5/3/25,May 04 2025,West,Phoenix,Office Supplies,Paper,Online,Home Office,2,$10.56,0.15,$17.96,N,gift
ORD-1098,2025-06-03,6/5/25,North East,Philadelphia,technology,Monitor,In-Store,Consumer,4,$245.77,.10,884.78,yes,
ORD-1098,2025-06-03,2025-06-05,Northeast,Philadelphia,Office Supplies,Pen,In-Store,Consumer ,2,2.92,0%,$5.84,no,rush
ORD-1098,6/3/25,2025/06/05,Northeast,Philadelphia,Office Supplies,Pen,In-Store,Consumer,1,USD 2.77,10 percent,unknown,FALSE,.
ORD-1099,Mar 04 2025,3/9/25,West,Portland,Furniture,Desk,Online,Consumer,4,290.79, 10% ,"$1,046.84",No,
ORD-1099,Mar 04 2025,Mar 09 2025,West,Portland,Technology,Laptop,Online,Consumer,4,970.92,0%,"$3,883.66",no,rush
ORD-1100,Feb 15 2025,2025/02/16,Midwest,Madison,Office Supplies,Binder,In Store,Consumer,5, 7.08 ,10%,$31.86,no,—
ORD-1101,2/1/25,2025/02/08,Northeast,Boston,Office Supplies,Pen,instore,corporate,.,$3.36,0,3.36,yes,
ORD-1101,2/1/25,2025/02/08,Northeast,Boston,Office Supplies,Pen,In-Store,Corporate,2,$3.30,0, 6.60 ,1,
ORD-1101,Feb 01 2025,2/8/25,Northeast,Boston,Furniture,Desk,In-Store,Corporate,1,289.73,0%,$289.73,1,—
ORD-1102,03-12-2025,2025-03-15,West,Seattle,Furniture ,Desk,Phone,Corporate,3,288.01,20 percent,691.23 USD,0,gift
ORD-1102,03-12-2025,Mar 15 2025,West,Seattle,Office Supplies,Pen,Phone,Corporate, 5 ,2.65,0.15,11.27 USD,Yes,
ORD-1103,1/18/25,1/22/25,northeast,Boston,Office Supplies,Binder,In-Store,Corporate,1,$8.34,none,$8.34,1,—
ORD-1104,07-12-2025,7/19/25,South,Dallas,Office Supplies,Binder,Online,Corporate,5,9,0%,43.90,Y,rush
ORD-1104,Jul 12 2025,2025/07/19,South,Dallas,Office Supplies,Binder,Online,Corporate,1,7.65,.05,7.27,N,priority
ORD-1104,Jul 12 2025,Jul 19 2025,South,Dallas,Furniture,bookcase,Online,Corporate,2,197.46,20%,315.94,no,.
ORD-1105,2025-04-30,2025-05-05,west,phoenix,Furniture,Chair,In-Store ,consumer,3,111,none, 332.23 ,no,.
ORD-1106,Mar 23 2025,2025-03-29,SOUTH,Houston,Office Supplies,Binder,In-Store,Consumer ,1,$7.94,.20,6.35,no,priority
ORD-1107,2025-07-05,2025/07/10,SOUTH,Houston,Furniture ,Chair,Online,Home Office,5, 118.21 ,0.15,502.39 USD,no,rush
ORD-1108,2025-01-26,1/30/25,Northeast,Philadelphia,office supplies,Paper,Online,Corporate,2, 12.07 ,0.05,22.93,no,
ORD-1109,1/9/25,2025-01-16,Midwest,Madison,Office Supplies,Pen ,Online ,HomeOffice,2,3.08,0%,$6.15,N,gift
ORD-1110,2025-05-03,5/6/25,Midwest,Chicago,Office Supplies,Paper,Web,Home Office,one,USD 12.03,0%,12.03 USD,No,
