student_id,section,prior_gpa,study_hours_week,attendance_pct,sleep_hours,caffeine_mg_day,stress_score,practice_quiz_avg,final_exam_score
S113,Section B,2.9,9.7,89.8,6.0,435,8.2,89.2,50.8
S114,Section B,2.91,10.7,88.9,7.7,330,7.1,96.7,62.1
S115,Section B,3.2,8.4,90.6,7.7,209,8.3,93.6,67.6
S116,Section B,3.23,8.9,89.2,8.4,252,6.9,92.8,67.1
S117,Section B,2.71,12.1,89.6,7.1,282,8.6,87.9,63.8
S118,Section B,3.62,14.5,99.0,6.4,395,8.7,100.0,65.8
S119,Section B,2.86,7.9,90.4,7.1,254,4.4,81.2,65.9
S120,Section B,3.69,15.0,97.5,6.2,427,6.4,99.0,70.9
S121,Section B,3.14,1.5,86.5,8.2,40,2.1,95.0,97.0
S122,Section B,3.8,10.5,100.0,7.0,331,10.0,100.0,65.6
S123,Section B,2.78,3.4,95.4,7.2,150,9.6,76.1,57.5
S124,Section B,2.7,8.3,85.3,6.5,362,8.1,97.7,51.8
S125,Section B,3.21,13.1,96.6,5.8,358,9.4,100.0,67.3
S126,Section B,2.74,9.2,91.8,6.6,262,6.3,94.0,68.1
S127,Section B,2.54,6.4,88.1,8.2,232,9.2,96.1,51.3
S128,Section B,2.59,10.0,86.6,6.1,216,8.6,91.7,50.7
S129,Section B,3.1,8.8,85.8,7.3,382,10.0,94.1,62.6
S130,Section B,3.27,7.4,94.6,7.4,184,7.6,100.0,77.5
S131,Section B,3.04,5.7,87.4,9.2,199,7.5,87.0,62.1
S132,Section B,3.28,8.5,92.8,7.4,197,6.5,84.5,60.4
S133,Section B,2.33,6.2,97.1,5.6,337,7.1,90.1,49.5
S134,Section B,3.24,14.9,88.5,7.3,400,7.7,94.2,67.3
S135,Section B,2.63,9.7,81.0,7.0,383,10.0,94.3,48.7
S136,Section B,2.83,6.4,88.2,7.0,239,8.6,98.8,60.7
S137,Section B,2.9,10.4,97.3,7.8,293,7.1,95.3,63.3
S138,Section B,3.26,8.4,100.0,6.9,352,8.8,93.2,67.8
S139,Section B,2.51,6.7,95.5,7.3,244,7.5,91.6,67.9
S140,Section B,3.25,9.2,93.3,7.1,244,6.3,88.5,63.4
S141,Section C,3.31,12.4,92.5,7.3,366,7.1,100.0,76.5
S142,Section C,3.4,11.2,90.5,7.9,422,10.0,100.0,68.4
S143,Section C,3.0,11.2,98.6,7.5,300,8.0,96.7,76.3
S144,Section C,3.55,11.0,95.3,6.9,280,8.0,86.8,61.2
S145,Section C,3.09,10.4,97.7,8.1,284,8.1,100.0,64.2
S146,Section C,2.95,9.4,94.5,7.0,261,7.9,100.0,75.5
S147,Section C,3.4,12.8,100.0,5.7,306,7.2,100.0,78.2
S148,Section C,2.92,11.2,90.1,6.8,329,10.0,100.0,63.0
S149,Section C,3.65,15.4,92.7,7.5,284,8.8,100.0,77.6
S150,Section C,3.08,10.5,100.0,5.9,284,9.0,91.5,62.7
S151,Section C,2.83,8.0,98.5,8.1,188,8.8,99.6,67.8
S152,Section C,3.33,13.1,100.0,6.2,379,10.0,90.6,70.5
S153,Section C,2.79,9.5,96.9,8.3,404,9.7,100.0,73.8
S154,Section C,3.55,12.1,90.5,6.5,347,9.1,97.9,75.4
S155,Section C,2.57,3.9,91.3,8.1,220,6.6,91.3,65.6
S156,Section C,3.34,14.1,91.6,6.6,208,6.5,98.8,78.1
S157,Section C,2.55,7.2,99.2,6.8,242,7.5,92.4,69.7
S158,Section C,3.79,14.6,96.5,5.0,450,8.0,100.0,71.0
S159,Section C,3.2,7.9,99.6,6.8,229,10.0,94.5,65.3
S160,Section C,3.35,11.2,93.7,6.3,300,9.6,100.0,64.9
S161,Section C,2.96,13.3,92.9,6.4,327,7.0,100.0,76.8
S162,Section C,3.25,12.3,91.4,6.6,257,8.3,100.0,71.9
S163,Section C,2.91,9.6,89.7,8.6,302,8.1,100.0,72.6
S164,Section C,3.75,14.3,99.7,7.4,450,10.0,100.0,78.1
S165,Section C,3.0,12.4,97.5,7.2,233,7.7,100.0,80.7
S166,Section C,3.58,14.2,91.9,6.6,450,9.0,100.0,63.9
S167,Section C,3.32,5.8,92.7,7.3,130,5.5,96.9,74.1
S168,Section C,3.51,12.9,92.4,6.2,231,8.1,100.0,74.5
S169,Section C,2.84,8.8,94.6,7.5,240,7.2,93.7,75.4
S170,Section C,3.33,17.3,95.4,6.9,450,6.8,100.0,72.7
S171,Section C,2.67,12.0,91.1,7.3,173,7.1,98.1,70.4
S172,Section C,2.98,12.4,97.7,6.3,334,10.0,96.3,68.6
S173,Section C,3.44,10.5,99.2,6.5,301,7.6,95.9,69.8
S174,Section C,3.03,9.7,85.2,7.3,319,10.0,92.3,66.4
S175,Section C,3.02,8.1,97.8,6.8,210,9.8,98.2,61.1
S176,Section C,2.91,9.8,87.2,7.3,396,5.7,100.0,72.7
S177,Section C,3.31,13.1,92.7,7.5,317,7.8,98.5,78.9
S178,Section C,3.47,9.3,88.8,8.4,348,9.0,100.0,75.5
S179,Section C,3.48,15.6,100.0,7.9,437,8.3,100.0,78.3
S180,Section C,2.94,11.4,97.2,7.1,230,6.5,88.5,71.9
S181,Section C,3.3,11.6,94.0,7.6,354,9.5,100.0,72.1
S182,Section C,3.41,14.8,100.0,7.8,450,6.1,100.0,66.5
S183,Section C,3.14,10.7,93.8,6.8,280,10.0,90.3,65.8
S184,Section C,3.11,9.4,89.2,6.8,338,8.4,95.6,66.1
S185,Section C,3.73,10.2,95.9,7.5,197,6.1,100.0,91.2
S186,Section C,3.11,12.0,92.1,8.1,279,9.8,93.8,71.8
S187,Section C,2.87,9.6,92.8,6.5,335,9.4,86.0,58.0
S188,Section C,2.77,11.5,100.0,7.5,348,8.0,91.5,71.2
S189,Section C,2.8,6.4,86.2,7.2,206,7.1,97.4,66.6
S190,Section C,3.16,11.1,96.4,7.3,256,9.9,89.1,70.5
S191,Section C,2.72,12.2,98.8,6.8,302,9.5,100.0,62.9
S192,Section C,2.96,14.4,100.0,7.5,387,10.0,98.2,62.8
S193,Section C,3.52,16.4,93.6,7.6,375,10.0,100.0,75.5
S194,Section C,3.19,13.1,92.9,5.8,309,8.7,99.4,73.6
S195,Section C,3.33,10.4,96.5,8.2,318,10.0,100.0,80.8
S196,Section C,2.94,8.8,87.4,8.8,224,8.5,99.2,66.2
S197,Section C,3.06,9.2,97.5,8.5,287,5.7,98.3,58.6
S198,Section C,3.17,9.1,99.2,8.6,181,6.0,100.0,78.8
S199,Section C,3.03,9.9,90.3,5.9,227,8.4,99.1,76.3
S200,Section C,2.78,12.6,97.7,7.3,326,7.8,100.0,72.5
S201,Section C,3.38,15.5,96.8,6.8,386,5.6,100.0,62.2
S202,Section C,2.9,10.3,93.9,5.9,334,10.0,95.7,69.2
S203,Section C,3.47,11.8,95.7,8.5,333,9.0,93.3,74.3
S204,Section C,3.0,8.1,92.4,7.5,358,8.9,100.0,68.3
S205,Section C,3.38,16.8,96.2,6.1,440,10.0,97.6,74.9
S206,Section C,2.9,10.1,91.1,7.6,339,8.9,92.8,79.9
S207,Section C,2.96,8.3,88.1,8.1,295,8.5,91.8,72.4
S208,Section C,3.67,13.3,99.2,8.2,340,8.1,92.2,76.2
S209,Section C,3.72,8.2,97.0,7.3,255,7.7,100.0,77.5
S210,Section C,2.79,13.3,100.0,6.9,313,7.3,100.0,73.7
